playerName,age,hometown,college,team,number,height,weight,experience,id
"Koyack, Ben",24.0,"Oil City , PA",Notre Dame,Jacksonville Jaguars,83,195.58,122.02,2nd season,benkoyack/2552396
"Byrd, Jairus",30.0,"San Diego , CA",Oregon,New Orleans Saints,31,177.8,92.08,9th season,jairusbyrd/79899
"Long, Spencer",26.0,"Omaha , NE",Nebraska,Washington Redskins,61,195.58,146.96,4th season,spencerlong/2550140
"Allen, Javorius",25.0,"Tallahassee , FL",USC,Baltimore Ravens,37,182.88,100.7,3rd season,javoriusallen/2552631
"Grymes, Aaron",26.0,"Seattle , WA",Idaho,Philadelphia Eagles,38,180.34,83.91,1st season,aarongrymes/2555574
"Cooks, Brandin",23.0,"Stockton , CA",Oregon State,New England Patriots,14,177.8,85.73,4th season,brandincooks/2543498
"Marpet, Ali",24.0,"Carmel , NY",Hobart,Tampa Bay Buccaneers,74,193.04,139.25,3rd season,alimarpet/2552332
"Andrews, Josh",25.0,"Los Angeles , CA",Oregon State,Philadelphia Eagles,68,187.96,141.07,3rd season,joshandrews/2550277
"Daniels, Mike",28.0,"Stratford , NJ",Iowa,Green Bay Packers,76,182.88,140.61,6th season,mikedaniels/2532826
"Palepoi, Tenny",26.0,"Salt Lake City , UT",Utah,Los Angeles Chargers,95,185.42,135.17,4th season,tennypalepoi/2550460
"Hargreaves, Vernon",22.0,"Manchester , CT",Florida,Tampa Bay Buccaneers,28,177.8,92.53,2nd season,vernonhargreaves/2555299
"Bryant, Dez",28.0,"Galveston Co. , TX",Oklahoma State,Dallas Cowboys,88,187.96,99.79,8th season,dezbryant/497278
"Darr, Matt",24.0,"Bakersfield , CA",Tennessee,Miami Dolphins,4,185.42,97.07,3rd season,mattdarr/2553642
"Allen, Antonio",28.0,"Ocala , FL",South Carolina,New York Jets,39,185.42,95.25,6th season,antonioallen/2532786
"Ertz, Zach",26.0,"Orange , CA",Stanford,Philadelphia Eagles,86,195.58,113.4,5th season,zachertz/2540158
"Henry, Hunter",22.0,"Little Rock , AR",Arkansas,Los Angeles Chargers,86,195.58,113.4,2nd season,hunterhenry/2555341
"Williams, Damien",25.0,"San Diego , CA",Oklahoma,Miami Dolphins,26,180.34,103.42,4th season,damienwilliams/2550512
"Gaines, E.J.",25.0,"Lees Summit , MO",Missouri,Los Angeles Rams,33,177.8,86.18,4th season,e.j.gaines/2543823
"Glenn, Cordy",27.0,"Atlanta , GA",Georgia,Buffalo Bills,77,198.12,156.49,6th season,cordyglenn/2532849
"Murphy, Kyle",23.0,"Mission Viejo , CA",Stanford,Green Bay Packers,68,198.12,138.35,2nd season,kylemurphy/2555200
"Jones, Reshad",29.0,"Atlanta , GA",Georgia,Miami Dolphins,20,185.42,97.07,8th season,reshadjones/496739
"Jones, Chris",22.0,"Houston , MS",Mississippi State,Kansas City Chiefs,95,195.58,140.61,2nd season,chrisjones/2556369
"Upshaw, Courtney",27.0,"Eufaula , AL",Alabama,Atlanta Falcons,91,187.96,123.38,6th season,courtneyupshaw/2532964
"Harris, Josh",28.0,"Carrollton , GA",Auburn,Atlanta Falcons,47,185.42,101.6,6th season,joshharris/2533554
"Jansen, J.J.",31.0,"Phoenix , AZ",Notre Dame,Carolina Panthers,44,187.96,108.86,10th season,j.j.jansen/2507412
"Williams, Teddy",28.0,"Tyler , TX",Texas-San Antonio,Carolina Panthers,21,185.42,95.25,6th season,teddywilliams/2508077
"Thomas, Joe",32.0,"Brookfield , WI",Wisconsin,Cleveland Browns,73,198.12,141.52,11th season,joethomas/2507162
"Sambrailo, Ty",25.0,"Watsonville , CA",Colorado State,Denver Broncos,74,195.58,142.88,3rd season,tysambrailo/2552366
"McLendon, Steve",31.0,"Ozark , AL",Troy,New York Jets,99,190.5,140.61,8th season,stevemclendon/2507590
"Niklas, Troy",24.0,"Fullerton , CA",Notre Dame,Arizona Cardinals,87,198.12,122.47,4th season,troyniklas/2543628
"Armstead, Terron",25.0,"East St. Louis , IL",Arkansas-Pine Bluff,New Orleans Saints,72,195.58,137.89,5th season,terronarmstead/2540228
"Armstrong, Ray-Ray",26.0,"Sanford , FL",Miami (Fla.),San Francisco 49ers,54,190.5,99.79,5th season,ray-rayarmstrong/2541792
"Johnson, Derrick",34.0,"Waco , TX",Texas,Kansas City Chiefs,56,190.5,109.77,13th season,derrickjohnson/2506353
"Parry, David",25.0,"Carrollton , TX",Stanford,Indianapolis Colts,54,187.96,140.61,3rd season,davidparry/2552438
"Keyes, Josh",24.0,"Philmont , NY",Boston College,Atlanta Falcons,52,187.96,101.15,3rd season,joshkeyes/2553719
"Abdul-Quddus, Isa",27.0,"Newark , NJ",Fordham,Miami Dolphins,24,185.42,88.9,7th season,isaabdul-quddus/2530658
"Chekwa, Chimdi",29.0,"Marrero , LA",Ohio State,Miami Dolphins,38,182.88,86.18,5th season,chimdichekwa/2495138
"Smith, Donovan",23.0,"Hempstead , NY",Penn State,Tampa Bay Buccaneers,76,198.12,153.31,3rd season,donovansmith/2552460
"Young, Willie",31.0,"Riviera Beach , FL",North Carolina State,Chicago Bears,97,193.04,117.03,8th season,willieyoung/2508063
"Hopkins, Trey",24.0,"Houston , TX",Texas,Cincinnati Bengals,66,190.5,140.61,2nd season,treyhopkins/2550208
"Braunecker, Ben",23.0,"Jasper , IN",Harvard,Chicago Bears,84,193.04,115.67,2nd season,benbraunecker/2556478
"Fackrell, Kyler",25.0,"Logan , UT",Utah State,Green Bay Packers,51,195.58,111.13,2nd season,kylerfackrell/2555340
"Prosch, Jay",24.0,"Saraland , AL",Auburn,Houston Texans,45,185.42,115.67,4th season,jayprosch/2543695
"Collins, Jamie",27.0,"Mccall Creek , MS",Southern Mississippi,Cleveland Browns,51,190.5,113.4,5th season,jamiecollins/2539311
"Karras, Ted",24.0,"Chicago , IL",Illinois,New England Patriots,75,193.04,138.35,2nd season,tedkarras/2555145
"Hyde, Carlos",26.0,"Cincinnati , OH",Ohio State,San Francisco 49ers,28,182.88,106.59,4th season,carloshyde/2543743
"Smith, Jacquies",27.0,"Dallas , TX",Missouri,Tampa Bay Buccaneers,56,187.96,117.93,4th season,jacquiessmith/2533005
"Weddle, Eric",32.0,"Fontana , CA",Utah,Baltimore Ravens,32,180.34,88.45,11th season,ericweddle/2495775
"Barnes, T.J.",26.0,"Montgomery , AL",Georgia Tech,Kansas City Chiefs,77,200.66,165.11,3rd season,t.j.barnes/2540276
"Fairley, Nick",29.0,"Mobile , AL",Auburn,New Orleans Saints,90,193.04,139.71,7th season,nickfairley/2495479
"Jenkins, Janoris",28.0,"Pahokee , FL",North Alabama,New York Giants,20,177.8,89.81,6th season,janorisjenkins/2532875
"Flowers, Brandon",31.0,"Delray Beach , FL",Virginia Tech,Los Angeles Chargers,24,175.26,84.82,10th season,brandonflowers/754
"Stanford, Julian",26.0,"Bloomfield , CT",Wagner,New York Jets,51,185.42,104.33,4th season,julianstanford/2535867
"Moore, Chris",23.0,"Orlando , FL",Cincinnati,Baltimore Ravens,10,185.42,90.72,2nd season,chrismoore/2555209
"Davis, Cody",28.0,"Stephenville , TX",Texas Tech,Los Angeles Rams,38,185.42,93.44,5th season,codydavis/2541135
"Spriggs, Jason",23.0,"Country Club Hills , IL",Indiana,Green Bay Packers,78,198.12,136.53,2nd season,jasonspriggs/2555197
"Bosa, Joey",21.0,"Miami , FL",Ohio State,Los Angeles Chargers,99,195.58,127.01,2nd season,joeybosa/2555249
"Robinson, Corey",25.0,"Havelock , NC",South Carolina,Detroit Lions,70,200.66,143.79,3rd season,coreyrobinson/2552356
"Colquitt, Dustin",35.0,"Knoxville , TN",Tennessee,Kansas City Chiefs,2,190.5,95.25,13th season,dustincolquitt/2506438
"Wood, Eric",31.0,"Cincinnati , OH",Louisville,Buffalo Bills,70,193.04,140.61,9th season,ericwood/71523
"Mathews, Ricardo",29.0,"Jacksonville , FL",Cincinnati,Pittsburgh Steelers,90,190.5,136.08,8th season,ricardomathews/1037901
"Aikens, Walt",25.0,"Charlotte , NC",Liberty,Miami Dolphins,35,185.42,98.88,4th season,waltaikens/2543724
"Shazier, Ryan",24.0,"Lauderdale Lakes , FL",Ohio State,Pittsburgh Steelers,50,185.42,104.33,4th season,ryanshazier/2543486
"Tialavea, D.J.",25.0,"West Jordan , UT",Utah State,Atlanta Falcons,86,193.04,117.93,3rd season,d.j.tialavea/2550406
"Martin, Zack",26.0,"Indianapolis , IN",Notre Dame,Dallas Cowboys,70,193.04,140.61,4th season,zackmartin/2543480
"Freeman, Jerrell",31.0,"Waco , TX",Mary Hardin-Baylor,Chicago Bears,50,182.88,107.05,6th season,jerrellfreeman/2514414
"Sitton, Josh",30.0,"Jacksonville , FL",Central Florida,Chicago Bears,71,190.5,144.24,10th season,joshsitton/4485
"Artis-Payne, Cameron",26.0,"Chester , PA",Auburn,Carolina Panthers,34,177.8,99.79,3rd season,cameronartis-payne/2552375
"Turbin, Robert",27.0,"Oakland , CA",Utah State,Indianapolis Colts,33,177.8,102.06,6th season,robertturbin/2533460
"Palardy, Michael",24.0,"Margate , FL",Tennessee,Carolina Panthers,5,180.34,86.64,2nd season,michaelpalardy/2550770
"Thomas, Demaryius",29.0,"Montrose , GA",Georgia Tech,Denver Broncos,88,190.5,103.87,8th season,demaryiusthomas/497328
"Huber, Kevin",31.0,"Cincinnati , OH",Cincinnati,Cincinnati Bengals,10,185.42,95.71,9th season,kevinhuber/71333
"Barnidge, Gary",31.0,"Bowling Green , KY",Louisville,Cleveland Browns,82,198.12,113.4,10th season,garybarnidge/1060
"Bush, Deon",23.0,"Miami , FL",Miami (Fla.),Chicago Bears,26,182.88,90.72,2nd season,deonbush/2555155
"Scherff, Brandon",25.0,"Denison , IA",Iowa,Washington Redskins,75,195.58,146.51,3rd season,brandonscherff/2552032
"Orakpo, Brian",30.0,"Houston , TX",Texas,Tennessee Titans,98,193.04,116.57,9th season,brianorakpo/71423
"Pulley, Spencer",24.0,"Memphis , TN",Vanderbilt,Los Angeles Chargers,73,193.04,139.71,2nd season,spencerpulley/2556821
"Watts, Craig",25.0,"Sumter , SC",West Texas A&M,New York Jets,62,190.5,151.95,1st season,craigwatts/2550664
"Allen, Ricardo",25.0,"Dayton Beach , FL",Purdue,Atlanta Falcons,37,175.26,84.37,3rd season,ricardoallen/2543850
"Cole, Trent",34.0,"Xenia , OH",Cincinnati,Indianapolis Colts,58,190.5,122.47,13th season,trentcole/2506482
"Thorpe, Neiko",27.0,"Southfield , MI",Auburn,Seattle Seahawks,27,185.42,90.72,5th season,neikothorpe/2534846
"McCoy, Colt",30.0,"Hobbs , NM",Texas,Washington Redskins,16,185.42,97.52,8th season,coltmccoy/497123
"Jones, Chandler",27.0,"Rochester , NY",Syracuse,Arizona Cardinals,55,195.58,120.2,6th season,chandlerjones/2533538
"Davis, Carl",25.0,"Detroit , MI",Iowa,Baltimore Ravens,94,195.58,148.32,3rd season,carldavis/2552280
"Gilchrist, Marcus",28.0,"High Point , NC",Clemson,New York Jets,21,177.8,89.81,7th season,marcusgilchrist/2495153
"Frazier, Kavon",22.0,"Grand Rapids , MI",Central Michigan,Dallas Cowboys,35,182.88,98.43,2nd season,kavonfrazier/2555536
"Stinson, Ed",27.0,"Homestead , FL",Alabama,Arizona Cardinals,91,193.04,130.18,4th season,edstinson/2543688
"Lotulelei, Star",27.0,Tonga,Utah,Carolina Panthers,98,187.96,142.88,5th season,starlotulelei/2539329
"Golson, Senquez",23.0,"Pascagoula , MS",Mississippi,Pittsburgh Steelers,27,175.26,79.83,3rd season,senquezgolson/2552264
"Watkins, Jaylen",25.0,"Fort Myers , FL",Florida,Philadelphia Eagles,26,180.34,88.0,3rd season,jaylenwatkins/2543707
"Williams, Darrell",23.0,Jamaica,South Florida,Los Angeles Rams,63,193.04,136.53,3rd season,darrellwilliams/2553748
"McCown, Luke",35.0,"Jacksonville , TX",Louisiana Tech,New Orleans Saints,7,193.04,98.43,14th season,lukemccown/2506053
"Walford, Clive",25.0,"Clewiston , FL",Miami (Fla.),Oakland Raiders,88,193.04,113.4,3rd season,clivewalford/2552397
"Brees, Drew",38.0,"Austin , TX",Purdue,New Orleans Saints,9,182.88,94.8,17th season,drewbrees/2504775
"Bryant, Corbin",29.0,"Chicago , IL",Northwestern,Buffalo Bills,97,193.04,136.08,5th season,corbinbryant/2531031
"Coleman, Tevin",24.0,"Atlanta , GA",Indiana,Atlanta Falcons,26,185.42,95.25,3rd season,tevincoleman/2552453
"Darkwa, Orleans",25.0,"Nashville , TN",Tulane,New York Giants,26,182.88,97.52,4th season,orleansdarkwa/2550481
"Rivers, Philip",35.0,"Decatur , AL",North Carolina State,Los Angeles Chargers,17,195.58,103.42,14th season,philiprivers/2506121
"McDonald, Vance",26.0,"Beaumont , TX",Rice,San Francisco 49ers,89,193.04,121.11,5th season,vancemcdonald/2540215
"Collins, Landon",23.0,"New Orleans , LA",Alabama,New York Giants,21,182.88,102.06,3rd season,landoncollins/2552454
"Lanier, Anthony",24.0,"Savannah , GA",Alabama A&M,Washington Redskins,72,198.12,127.91,2nd season,anthonylanier/2556416
"Snead, Willie",24.0,"Winter Park , FL",Ball State,New Orleans Saints,83,180.34,88.45,3rd season,williesnead/2550256
"Burton, Trey",25.0,"Venice , FL",Florida,Philadelphia Eagles,47,190.5,106.59,4th season,treyburton/2550284
"King, Akeem",24.0,"Visalia , CA",San Jose State,Atlanta Falcons,25,185.42,96.16,3rd season,akeemking/2553456
"Hilton, T.Y.",27.0,"Miami , FL",Florida International,Indianapolis Colts,13,175.26,81.65,6th season,t.y.hilton/2532865
"Sample, James",24.0,"Sacramento , CA",Louisville,Jacksonville Jaguars,23,187.96,97.52,3rd season,jamessample/2552696
"Gronkowski, Rob",28.0,"Amherst , NY",Arizona,New England Patriots,87,198.12,120.2,8th season,robgronkowski/497240
"Raymond, Kalif",22.0,"Lawrenceville , GA",Holy Cross,Denver Broncos,19,175.26,72.57,1st season,kalifraymond/2556661
